track_id,track_name,artist_id,artist_name,is_main
1,Comedy,1,Gen Hoshino,1
2,Ghost - Acoustic,2,Ben Woodward,1
3,To Begin Again,3,Ingrid Michaelson,1
3,To Begin Again,4,ZAYN,0
4,Can't Help Falling In Love,5,Kina Grannis,1
5,Hold On,6,Chord Overstreet,1
6,Days I Will Remember,7,Tyrone Wells,1
7,Say Something,8,A Great Big World,1
8,I'm Yours,9,Jason Mraz,1
9,Hunger,10,Ross Copperman,1
10,Give Me Your Forever,11,Zack Tabudlo,1
11,Mr. P-Mosh,12,Plastilina Mosh,1
12,Count It,13,Jor'dan Armstrong,1
13,El Sirenito,12,Plastilina Mosh,1
14,La aparecida,14,Jorge Drexler,1
15,Chan Chan,15,Buena Vista Social Club,1
16,Zombie,16,Fela Kuti,1
17,On The Low,17,Burna Boy,1
18,Essence,18,Wizkid,1
19,Fall,19,Davido,1
20,Calm Down,20,Rema,1
21,Villa,21,El Michels Affair,1
22,Savages (Part 2),22,Haruki Sayama,1
22,Savages (Part 2),23,Ryoichi Fukuzawa,0
22,Savages (Part 2),24,Yuko Doi,0
22,Savages (Part 2),25,Music Creation,0
23,Rudolph The Red-Nosed Reindeer,26,Donald Duck,1
23,Rudolph The Red-Nosed Reindeer,27,Goofy,0
24,Hip Hip Pooh Rah,28,Billboard Baby Lullabies,1
25,Rocking Chair Lullaby,29,Cameron's Bedtime Classics,1
26,Die letzte Vision,30,Germaine Franco,1
27,We Don't Talk About Bruno,31,Lin-Manuel Miranda,1
28,Into the Unknown,32,Idina Menzel,1
29,Do You Want to Build a Snowman?,33,Kristen Bell,1
30,I Can't Let You Throw Yourself Away,34,Randy Newman,1
31,En helt ny verden,35,Jannicke Kruse,1
31,En helt ny verden,36,Trond Teigen,0
32,Im Mondenschein,37,Debby van Dooren,1
32,Im Mondenschein,38,Tommy Amper,0
32,Im Mondenschein,39,Friedel Morgenstern,0
33,The Carnival of the Animals: Kangaroos,40,David Ogden Stiers,1
33,The Carnival of the Animals: Kangaroos,41,Chie Nagatani,0
33,The Carnival of the Animals: Kangaroos,42,Nina Flyer,0
34,Bambi Gets Twitterpated,43,Frank Churchill,1
34,Bambi Gets Twitterpated,44,Ed Plumb,0
34,Bambi Gets Twitterpated,45,Larry Morey,0
35,You Oughta Be Ashamed,43,Frank Churchill,0
35,You Oughta Be Ashamed,46,Oliver Wallace,1
36,Tío Bruno,30,Germaine Franco,1
37,Circle of Life,31,Lin-Manuel Miranda,1
38,Hakuna Matata,31,Lin-Manuel Miranda,1
39,Let It Go,32,Idina Menzel,1
40,You've Got a Friend in Me,34,Randy Newman,1
41,Até Quando?,47,Oficina G3,1
42,Desta Vez Não,48,Gerson Rufino,1
43,Diz,47,Oficina G3,1
44,Tente Lembrar,49,Sérgio Lopes,1
45,Deus Cuida de Mim,50,Kleber Lucas,1
46,Marca da Promessa,51,Trazendo a Arca,1
47,Terremoto,52,Eyshila,1
48,Sabor de Mel,53,Damares,1
49,Faz Chover,54,Fernandinho,1
50,Advogado Fiel,55,Bruna Karla,1
51,O Espírito Do Senhor - Ao Vivo,56,Eli Soares,1
52,Desapareceu um Povo,57,Shirley Carvalhaes,1
53,Corpo E Família - Ao Vivo,56,Eli Soares,1
53,Corpo E Família - Ao Vivo,58,Késia Soares,0
54,Ninguém Pode Impedir,59,Rose Nascimento,1
55,Raridade,60,Anderson Freire,1
56,Ressuscita-me,61,Aline Barros,1
57,Faz um Milagre em Mim,62,Regis Danese,1
58,Com Muito Louvor,63,Cassiane,1
59,Ninguém Explica Deus,64,Preto no Branco,1
60,Lugar Secreto,65,Gabriela Rocha,1
61,Olha,66,Erasmo Carlos,1
61,Olha,67,Chico Buarque,0
62,Yollar,68,Asu Maralman,1
63,Love Is Strong,69,The Green,1
64,Sonbahardan Çizgiler,70,Yeni Türkü,1
65,Gülümse,71,Sezen Aksu,1
66,Düşler Sokağı,72,Ezginin Günlüğü,1
67,Gülpembe,73,Barış Manço,1
68,Tamirci Çırağı,74,Cem Karaca,1
69,Fesuphanallah,75,Erkin Koray,1
70,Bi Şey Yapmalı,76,Moğollar,1
71,Just the Two of Us,77,"Grover Washington, Jr.",1
71,Just the Two of Us,78,Bill Withers,0
72,Feeling Good,79,Michael Bublé,1
73,Sway,79,Michael Bublé,1
74,Kajra Re,80,Shankar,1
74,Kajra Re,81,Ehsaan,0
74,Kajra Re,82,Loy,0
74,Kajra Re,83,Alisha Chinai,0
74,Kajra Re,84,Shankar Mahadevan,0
74,Kajra Re,85,Gulzar,0
75,Mauja Hi Mauja,86,Pritam,1
75,Mauja Hi Mauja,87,Mohit Chauhan,0
76,Radha,88,Vishal-Shekhar,1
76,Radha,89,Vishal Dadlani,0
76,Radha,90,Shekhar Ravjiani,0
77,Boy With Luv,91,BTS,1
77,Boy With Luv,92,Halsey,0
78,IDOL,91,BTS,1
79,Dynamite,91,BTS,1
80,Life Goes On,91,BTS,1
81,I'll Never Not Love You,79,Michael Bublé,1
82,Crazy Love,79,Michael Bublé,1
83,It's Beginning to Look a Lot Like Christmas,79,Michael Bublé,1
84,Love You Anymore,79,Michael Bublé,1
85,Christmas Lights,79,Michael Bublé,1
86,All I Want for Christmas Is You,79,Michael Bublé,1
87,Home,79,Michael Bublé,1
88,White Christmas,79,Michael Bublé,1
89,Holly Jolly Christmas,79,Michael Bublé,1
90,Santa Claus Is Coming to Town,79,Michael Bublé,1
91,Christmas Calling (Jolly Jones),93,Norah Jones,1
92,Wonderful Christmastime,93,Norah Jones,1
93,Annul Maelae,94,Harris Jayaraj,1
93,Annul Maelae,95,Sudha Ragunathan,0
94,Tu Mile Dil Khile,96,Raj Barman,1
95,Half of My Heart,97,John Mayer,1
95,Half of My Heart,98,Taylor Swift,0
96,I Don't Care,99,Ed Sheeran,1
96,I Don't Care,100,Justin Bieber,0
97,Hello,101,Adele,1
98,24K Magic,102,Bruno Mars,1
99,Let Somebody Go,103,Coldplay,1
99,Let Somebody Go,104,Selena Gomez,0
100,Blinding Lights,105,The Weeknd,1
